,Car_Name,Car_Price,Car_Engine_Capacity,Car_Mileage
0,Mahindra Thar AX Opt Hard Top Diesel RWD (Diesel),11.35 ,1497 ,15.2 
1,Mahindra Thar LX Hard Top Diesel RWD (Diesel),12.85 ,1497 ,
2,Mahindra Thar LX Hard Top AT RWD (Petrol),14.10 ,1997 ,
3,Mahindra Thar AX Opt Convert Top (Petrol),14.30 ,1997 ,
4,Mahindra Thar AX Opt Convert Top Diesel (Diesel),14.85 ,2184 ,15.2 
5,Mahindra Thar AX Opt Hard Top Diesel (Diesel),,2184 ,15.2 
6,Mahindra Thar LX Hard Top (Petrol),,1997 ,15.2 
7,Mahindra Thar Earth Edition (Petrol),15.40 ,1997 ,15.2 
8,Mahindra Thar LX Hard Top MLD Diesel (Diesel),15.55 ,2184 ,15.2 
9,Mahindra Thar LX Convert Top Diesel (Diesel),15.75 ,2184 ,15.2 
10,Mahindra Thar LX Hard Top Diesel (Diesel),15.75 ,2184 ,15.2 
11,Mahindra Thar Earth Edition Diesel (Diesel),16.15 ,2184 ,15.2 
12,Mahindra Thar LX Convert Top AT (Petrol),16.50 ,1997 ,15.2 
13,Mahindra Thar LX Hard Top AT (Petrol),16.60 ,1997 ,
14,Mahindra Thar Earth Edition AT (Petrol),,1997 ,
15,Mahindra Thar LX Hard Top MLD Diesel AT (Diesel),,2184 ,
16,Mahindra Thar LX Convert Top Diesel AT (Diesel),17.15 ,2184 ,
17,Mahindra Thar LX Hard Top Diesel AT (Diesel),17.20 ,2184 ,
18,Mahindra Thar Earth Edition Diesel AT (Diesel),17.60 ,2184 ,
19,Maruti Swift LXi (Petrol),6.49 ,1197 ,24.8 
20,Maruti Swift VXi (Petrol),7.29 ,1197 ,24.8 
21,Maruti Swift VXi Opt (Petrol),7.57 ,1197 ,24.8 
22,Maruti Swift VXi AMT (Petrol),7.75 ,1197 ,25.75 
23,Maruti Swift VXi Opt AMT (Petrol),8.02 ,1197 ,25.75 
24,Maruti Swift ZXi (Petrol),8.29 ,1197 ,24.8 
25,Maruti Swift ZXi AMT (Petrol),8.74 ,1197 ,25.75 
26,Maruti Swift ZXi Plus (Petrol),8.99 ,1197 ,24.8 
27,Maruti Swift ZXi Plus DT (Petrol),9.14 ,1197 ,24.8 
28,Maruti Swift ZXi Plus AMT (Petrol),9.45 ,1197 ,25.75 
29,Maruti Swift ZXi Plus AMT DT (Petrol),9.59 ,1197 ,25.75 
30,Mahindra Scorpio S (Diesel),13.62 ,2184 ,
31,Mahindra Scorpio S 9 Seater (Diesel),13.87 ,2184 ,
32,Mahindra Scorpio S 11 7CC (Diesel),17.42 ,2184 ,
